competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202401,1,Norte,complicacoes_anestesicas,anestesia_obstetrica,17,21733,0.0782,36,2710.63,0
202401,1,Norte,complicacoes_gestacao,liquido_membranas_ou_placenta,591,21733,2.7194,1771,480274.61,0
202401,1,Norte,complicacoes_parto,trabalho_de_parto_ou_parto,3438,21733,15.8193,8961,2468959.20,1
202401,1,Norte,complicacoes_puerperais,outras_complicacoes_puerperais,118,21733,0.543,498,29168.23,0
202401,1,Norte,complicacoes_vasculares,complicacoes_venosas,15,21733,0.069,68,9869.30,0
202401,1,Norte,complicacoes_vasculares,embolia_obstetrica,1,21733,0.0046,5,513.08,0
202401,1,Norte,desfecho_abortivo,gestacao_com_desfecho_abortivo,1573,21733,7.2378,2759,375028.45,0
202401,1,Norte,disturbios_metabolicos,diabetes_na_gestacao,251,21733,1.1549,1007,163397.80,0
202401,1,Norte,hemorragias,hemorragia_pos_parto,14,21733,0.0644,50,4096.57,0
202401,1,Norte,hemorragias,outras_hemorragias_obstetricas,432,21733,1.9878,1040,120011.97,0
202401,1,Norte,infeccoes,infeccao_geniturinaria_gestacao,632,21733,2.908,2047,101049.08,0
202401,1,Norte,infeccoes,infeccao_puerperal,170,21733,0.7822,835,48546.09,1
202401,1,Norte,outras_condicoes_maternas,anemia_complicando_gestacao,12,21733,0.0552,72,2065.38,0
202401,1,Norte,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,460,21733,2.1166,1918,120007.34,1
202401,1,Norte,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,5,21733,0.023,12,1044.19,0
202401,1,Norte,outras_condicoes_maternas,outras_condicoes_da_gestacao,94,21733,0.4325,327,21396.05,0
202401,1,Norte,transtornos_hipertensivos,eclampsia,61,21733,0.2807,211,55365.20,0
202401,1,Norte,transtornos_hipertensivos,hipertensao_gestacional,199,21733,0.9157,777,118081.56,1
202401,1,Norte,transtornos_hipertensivos,outros_hipertensivos,125,21733,0.5752,531,85862.99,0
202401,1,Norte,transtornos_hipertensivos,pre_eclampsia,536,21733,2.4663,1900,457342.03,0
202401,2,Nordeste,complicacoes_anestesicas,anestesia_obstetrica,64,54890,0.1166,165,18010.01,0
202401,2,Nordeste,complicacoes_gestacao,liquido_membranas_ou_placenta,2454,54890,4.4708,6917,1824023.77,2
202401,2,Nordeste,complicacoes_parto,trabalho_de_parto_ou_parto,6409,54890,11.6761,17123,4316414.09,1
202401,2,Nordeste,complicacoes_puerperais,outras_complicacoes_puerperais,337,54890,0.614,1396,129638.85,0
202401,2,Nordeste,complicacoes_vasculares,complicacoes_venosas,84,54890,0.153,451,45412.81,1
202401,2,Nordeste,complicacoes_vasculares,embolia_obstetrica,4,54890,0.0073,9,1621.44,0
202401,2,Nordeste,desfecho_abortivo,gestacao_com_desfecho_abortivo,4891,54890,8.9105,8998,1226596.52,4
202401,2,Nordeste,disturbios_metabolicos,diabetes_na_gestacao,1433,54890,2.6107,6128,970414.63,0
202401,2,Nordeste,hemorragias,hemorragia_pos_parto,73,54890,0.133,164,25151.26,0
202401,2,Nordeste,hemorragias,outras_hemorragias_obstetricas,761,54890,1.3864,1961,277931.99,1
202401,2,Nordeste,infeccoes,infeccao_geniturinaria_gestacao,739,54890,1.3463,3293,170976.65,0
202401,2,Nordeste,infeccoes,infeccao_puerperal,453,54890,0.8253,2599,152546.63,0
202401,2,Nordeste,outras_condicoes_maternas,anemia_complicando_gestacao,28,54890,0.051,112,12463.59,0
202401,2,Nordeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1481,54890,2.6981,6786,533617.69,0
202401,2,Nordeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,8,54890,0.0146,27,2462.43,0
202401,2,Nordeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,303,54890,0.552,1121,84293.65,0
202401,2,Nordeste,transtornos_hipertensivos,eclampsia,122,54890,0.2223,449,110268.46,1
202401,2,Nordeste,transtornos_hipertensivos,hipertensao_gestacional,918,54890,1.6724,3334,649743.65,2
202401,2,Nordeste,transtornos_hipertensivos,outros_hipertensivos,928,54890,1.6907,3289,714385.83,0
202401,2,Nordeste,transtornos_hipertensivos,pre_eclampsia,2000,54890,3.6437,8976,1800328.85,0
202401,3,Sudeste,complicacoes_anestesicas,anestesia_obstetrica,62,63543,0.0976,115,10667.77,0
202401,3,Sudeste,complicacoes_gestacao,liquido_membranas_ou_placenta,2401,63543,3.7785,7179,1819448.38,1
202401,3,Sudeste,complicacoes_parto,trabalho_de_parto_ou_parto,6697,63543,10.5393,18579,4513876.91,3
